"ano","pais","sigla","regiao","democracia","pib","populacao","variavel_dependente","despesas","mortes"
2001,"France","FRA","Europe",0.876,23870,61367388,1,12.8586490899324,51
2001,"Georgia","GEO","Asia",0.384,780,4014373,1,0,0
2001,"Germany","DEU","Europe",0.897,24770,82349925,1,1.95907324552536,24
2001,"Greece","GRC","Europe",0.893,NA,10862132,1,5.4470247477293,33
2001,"Hungary","HUN","Europe",0.848,4790,10187576,0,3.75110477209091,243
2001,"Italy","ITA","Europe",0.836,21190,56974100,1,7.9387543797493,6
2001,"Japan","JPN","Asia",0.842,37380,127149000,0,0,75
2001,"Kazakhstan","KAZ","Asia",0.259,1360,14858335,0,2.11791324615478,6
2001,"Latvia","LVA","Europe",0.817,3600,2337170,0,1.49341779947281,63
2001,"Lithuania","LTU","Europe",0.82,3450,3470818,0,2,60
2001,"Mongolia","MNG","Asia",0.661,470,2472601,0,0,48
2001,"New Zealand","NZL","Oceania",0.885,13800,3880500,1,0,0
2001,"Norway","NOR","Europe",0.889,38280,4513751,1,1.79144328832626,0
2001,"Peru","PER","Americas",0.728,1880,27014909,1,0,744
2001,"Poland","POL","Europe",0.88,4710,38248076,0,3.79970616102219,891
2001,"Portugal","PRT","Europe",0.878,11850,10362722,0,3.45717775821686,18
2001,"Romania","ROU","Europe",0.594,1760,22131970,0,3,51
2001,"South Africa","ZAF","Africa",0.745,3080,47229714,1,11.1090324819088,200
2001,"Spain","ESP","Europe",0.891,15540,40850412,1,3.82508361339569,48
2001,"Spain","SPI","Africa",0.891,15540,40850412,1,1.91254180669784,28
2001,"Switzerland","CHE","Europe",0.888,42010,7229854,1,2.2312939465046,0
2001,"Thailand","THA","Asia",0.559,1960,63649892,1,0,378
2001,"Uganda","UGA","Africa",0.282,240,24763325,0,0,52
2001,"Ukraine","UKR","Europe",0.379,720,48662400,1,0,27
2002,"Albania","ALB","Europe",0.484,1370,3051010,0,0,7
2002,"Australia","AUS","Oceania",0.88,20210,19495210,1,9.66120824217796,8
2002,"Austria","AUT","Europe",0.86,25030,8081957,1,5.15204639732838,48
2002,"Belgium","BEL","Europe",0.885,24060,10332785,1,10.0298554450273,28
2002,"Bulgaria","BGR","Europe",0.723,1970,7837161,0,1.7514840811491,3
2002,"Canada","CAN","Americas",0.831,23590,31360079,1,0,8
2002,"Chile","CHL","Americas",0.878,4570,15693790,1,0,38
2002,"Costa Rica","CRI","Americas",0.899,3750,4122623,0,0,30
2002,"Denmark","DNK","Europe",0.909,30850,5375931,1,1.45950448513031,3
2002,"El Salvador","SLV","Americas",0.547,1990,6011275,0,3,21
2002,"France","FRA","Europe",0.878,23150,61816234,1,9.39229033887386,84
2002,"Georgia","GEO","Asia",0.382,840,3978515,1,0,18
2002,"Germany","DEU","Europe",0.897,23680,82488495,1,9.80369091033936,196
2002,"Greece","GRC","Europe",0.893,NA,10902022,1,10.2857145667076,6
2002,"Hungary","HUN","Europe",0.849,5290,10158608,0,1.8663926422596,0
2002,"Ireland","IRL","Europe",0.89,24920,3931947,0,2.22420397400856,0
2002,"Italy","ITA","Europe",0.84,20770,57059007,1,15.8274258375168,111
2002,"Japan","JPN","Asia",0.842,35360,127445000,0,0,21
2002,"Mauritius","MUS","Africa",0.738,3960,1204621,0,1.14420107007027,12
2002,"Mongolia","MNG","Asia",0.669,520,2494617,0,2.16912817955018,9
2002,"Netherlands","NLD","Europe",0.856,26390,16148929,1,1.89997461438179,12
2002,"New Zealand","NZL","Oceania",0.884,14170,3948500,1,0,0
2002,"Peru","PER","Americas",0.798,1940,27334503,1,0,328
2002,"Poland","POL","Europe",0.881,4900,38230364,0,5.74882087111473,576
2002,"Portugal","PRT","Europe",0.883,11780,10419631,0,1.72927182912827,3
2002,"Romania","ROU","Europe",0.594,1950,21730496,0,4,57
2002,"South Africa","ZAF","Africa",0.745,2890,47661514,1,16.9294880703092,504
2002,"Spain","ESP","Europe",0.891,15630,41431558,1,1.90164171159267,24
2002,"Spain","SPI","Africa",0.891,15630,41431558,1,1.90164171159267,64
2002,"Sweden","SWE","Europe",0.914,29090,8924958,0,3.78205356001854,3
2002,"Switzerland","CHE","Europe",0.888,40640,7284753,1,6.54998369514942,20
2002,"Thailand","THA","Asia",0.551,1980,64222580,1,0,570
2002,"Uganda","UGA","Africa",0.27,250,25545090,0,0,192
2003,"Australia","AUS","Oceania",0.88,21380,19720737,1,21.3695873767138,24
2003,"Austria","AUT","Europe",0.859,28100,8121423,1,1.64551684260368,1380
2003,"Belgium","BEL","Europe",0.886,27100,10376133,1,4.05824990570545,4700
2003,"Canada","CAN","Americas",0.831,25480,31644028,1,0,200
2003,"Chile","CHL","Americas",0.878,4620,15859112,1,0,0
2003,"Colombia","COL","Americas",0.536,2400,41057687,0,0,345
2003,"Costa Rica","CRI","Americas",0.899,4000,4188610,0,0,9
2003,"Croatia","HRV","Europe",0.777,6700,4303399,0,4.5095032453537,2364
2003,"Cyprus","CYP","Asia",0.804,16710,1000350,0,1.91428572684526,0
2003,"El Salvador","SLV","Americas",0.547,2110,6026849,0,1,912
2003,"France","FRA","Europe",0.879,26000,62256970,1,13.0895431637764,58536
2003,"Germany","DEU","Europe",0.897,26140,82534176,1,7.83362889289856,37480
2003,"Greece","GRC","Europe",0.893,NA,10928070,1,6.9215190410614,0
2003,"Honduras","HND","Americas",0.569,1110,7201881,0,0,30
2003,"Hungary","HUN","Europe",0.849,6630,10129552,0,3.68531739711761,21
2003,"Ireland","IRL","Europe",0.89,29980,3996521,0,2.12472340464592,0
2003,"Italy","ITA","Europe",0.84,23410,57313203,1,9.95778195559978,60276
2003,"Japan","JPN","Asia",0.841,35660,127718000,0,0,138
2003,"Kazakhstan","KAZ","Asia",0.25,1810,14909019,0,1.136350274086,6
2003,"Latvia","LVA","Europe",0.822,4670,2287955,0,1.42199313640595,45
2003,"Luxembourg","LUX","Europe",0.877,46050,451630,1,1.78476813435555,510
2003,"Mongolia","MNG","Asia",0.67,600,2516454,0,0,45
2003,"Netherlands","NLD","Europe",0.863,30290,16225302,1,1.93307842314243,2895
2003,"New Zealand","NZL","Oceania",0.883,16990,4027200,1,0,6
2003,"Peru","PER","Americas",0.798,2060,27623341,1,0,1444
2003,"Portugal","PRT","Europe",0.883,13290,10458821,0,5.16420435905456,8130
2003,"Romania","ROU","Europe",0.601,2250,21574326,0,3,9
2003,"Slovenia","SVN","Europe",0.846,12630,1995733,0,1.47562336921692,867
2003,"South Africa","ZAF","Africa",0.745,3180,48104048,1,5.97348574083298,8
2003,"Spain","ESP","Europe",0.876,18080,42187645,1,5.74588436633348,60380
2003,"Sweden","SWE","Europe",0.915,32750,8958229,0,1.84360891580582,0
2003,"Switzerland","CHE","Europe",0.888,46660,7339001,1,6.52983874082565,4156
2003,"Thailand","THA","Asia",0.552,2170,64776956,1,0,54
2003,"Uganda","UGA","Africa",0.265,250,26354736,0,0,120
2003,"Ukraine","UKR","Europe",0.388,980,47812949,1,1.39305341243744,0
2004,"Albania","ALB","Europe",0.49,2100,3026939,0,0,3
2004,"Australia","AUS","Oceania",0.88,25850,19932722,1,13.1926378756762,24
2004,"Canada","CAN","Americas",0.83,29530,31940655,1,0,0
2004,"Chile","CHL","Americas",0.878,5260,16017966,1,0,6
2004,"Colombia","COL","Americas",0.54,2640,41648268,0,0,348
2004,"Costa Rica","CRI","Americas",0.897,4350,4252800,0,0,30
2004,"Cyprus","CYP","Asia",0.823,20260,1018684,0,1.93261457234621,0
2004,"France","FRA","Europe",0.879,31450,62716306,1,1.88528381288052,33
2004,"Georgia","GEO","Asia",0.55,1210,3927340,1,0,3
2004,"Germany","DEU","Europe",0.897,31670,82516260,1,3.93206730484962,8
2004,"Greece","GRC","Europe",0.893,NA,10955141,1,3.40061801671982,0
2004,"Honduras","HND","Americas",0.569,1190,7383407,0,0,0
2004,"Hungary","HUN","Europe",0.849,8650,10107146,0,1.83930107951164,0
2004,"Ireland","IRL","Europe",0.89,37840,4070262,0,1.98260733485222,0
2004,"Italy","ITA","Europe",0.84,28360,57685327,1,1.99826407432556,6
2004,"Japan","JPN","Asia",0.841,39000,127761000,0,0,813
2004,"Kazakhstan","KAZ","Asia",0.247,2300,15012984,0,0.88054370880127,96
2004,"New Zealand","NZL","Oceania",0.883,21530,4087500,1,0,12
2004,"Peru","PER","Americas",0.799,2260,27893911,1,0,404
2004,"Poland","POL","Europe",0.881,6260,38182222,0,1.91281859576702,0
2004,"Portugal","PRT","Europe",0.883,16190,10483861,0,3.36234748363495,6
2004,"Romania","ROU","Europe",0.59,2960,21451748,0,6,147
2004,"Slovenia","SVN","Europe",0.828,15610,1997012,0,1.44994246959686,3
2004,"South Africa","ZAF","Africa",0.76,4070,48556071,1,5.42567619681358,20
2004,"Spain","ESP","Europe",0.874,22130,42921895,1,5.78368639200926,116
2004,"Spain","SPI","Africa",0.874,22130,42921895,1,1.92789546400309,52
2004,"Thailand","THA","Asia",0.548,2520,65311166,1,0,25125
2004,"Uganda","UGA","Africa",0.274,280,27146084,0,0,6
2005,"Australia","AUS","Oceania",0.877,30740,20176844,1,7.80341535806656,64
2005,"Austria","AUT","Europe",0.862,38770,8227829,1,5.04513940215111,16
2005,"Belgium","BEL","Europe",0.881,37780,10478617,1,6.10397506132722,8
2005,"Bosnia and Herzegovina","BIH","Europe",0.642,2810,4094297,1,0,12
2005,"Bulgaria","BGR","Europe",0.7,3800,7658972,0,10.9741936326027,117
2005,"Canada","CAN","Americas",0.828,34310,32243753,1,0,16
2005,"Chile","CHL","Americas",0.876,6270,16175311,1,0,183
2005,"Colombia","COL","Americas",0.545,3030,42220940,0,0,540
2005,"Costa Rica","CRI","Americas",0.897,4610,4315887,0,0,18
2005,"Croatia","HRV","Europe",0.777,10210,4310145,0,4.38686621189117,21
2005,"Denmark","DNK","Europe",0.919,49610,5419432,1,1.53944978117943,12
2005,"El Salvador","SLV","Americas",0.546,2420,6037817,0,6,360
2005,"Estonia","EST","Europe",0.871,9730,1354775,0,1.52711701393127,0
2005,"Finland","FIN","Europe",0.875,40230,5246096,1,1.4235976934433,0
2005,"France","FRA","Europe",0.879,35920,63188395,1,9.51944410800934,39
2005,"Georgia","GEO","Asia",0.55,1520,3902469,1,0,0
2005,"Germany","DEU","Europe",0.897,35770,82469422,1,7.88868916034699,16
2005,"Honduras","HND","Americas",0.563,1270,7564613,0,0,183
2005,"Hungary","HUN","Europe",0.849,10380,10087065,0,7.95953810214997,156
2005,"Ireland","IRL","Europe",0.89,44640,4159914,0,1.94257238507271,0
2005,"Italy","ITA","Europe",0.847,32480,57969484,1,1.97379682958126,27
2005,"Japan","JPN","Asia",0.845,41280,127773000,0,12.6274142861366,408
2005,"Kazakhstan","KAZ","Asia",0.238,2930,15147029,0,0,0
2005,"Kenya","KEN","Africa",0.512,520,35843010,1,0,212
2005,"Latvia","LVA","Europe",0.822,7390,2238799,0,2.44702339172363,0
2005,"Lithuania","LTU","Europe",0.825,7560,3322528,0,2.67472863197327,0
2005,"Netherlands","NLD","Europe",0.864,41960,16319868,1,5.83945217728615,0
2005,"New Zealand","NZL","Oceania",0.883,25450,4133900,1,0,0
2005,"Norway","NOR","Europe",0.892,64050,4623291,1,1.81225447356701,0
2005,"Paraguay","PRY","Americas",0.597,1620,5476878,0,0,0
2005,"Peru","PER","Americas",0.799,2520,28147267,1,0,20
2005,"Poland","POL","Europe",0.882,7330,38165445,0,7.4979784488678,579
2005,"Portugal","PRT","Europe",0.895,18600,10503330,0,3.42821902036667,1431
2005,"Romania","ROU","Europe",0.608,3880,21319685,0,12.100302696228,285
2005,"Slovenia","SVN","Europe",0.824,18310,2000474,0,1.49310463666916,0
2005,"South Africa","ZAF","Africa",0.773,5480,49017147,1,1.37680725380778,8
2005,"Spain","ESP","Europe",0.876,25910,43653155,1,3.8477371931076,80
2005,"Spain","SPI","Africa",0.876,25910,43653155,1,1.9238685965538,76
2005,"Sweden","SWE","Europe",0.915,45770,9029572,0,3.448790371418,21
2005,"Switzerland","CHE","Europe",0.888,62770,7437115,1,4.10469636321068,24
2005,"Thailand","THA","Asia",0.525,2780,65821360,1,0,258
2005,"Uganda","UGA","Africa",0.306,310,27946588,0,0,42
2005,"Ukraine","UKR","Europe",0.447,1540,47105171,1,1.37079918384552,0
2006,"Australia","AUS","Oceania",0.877,34600,20450966,1,15.3769142627716,16
2006,"Austria","AUT","Europe",0.865,41500,8268641,1,1.70268937945366,0
2006,"Belarus","BLR","Europe",0.227,3510,9604924,0,1.00114897452295,15
2006,"Belgium","BEL","Europe",0.886,39940,10547958,1,2.02637736871839,3760
2006,"Bulgaria","BGR","Europe",0.702,4300,7601022,0,6.75014305114746,54
2006,"Canada","CAN","Americas",0.836,37900,32571174,1,0,4
2006,"Chile","CHL","Americas",0.89,7430,16334575,1,0,54
2006,"Colombia","COL","Americas",0.568,3540,42772910,0,0,450
2006,"Croatia","HRV","Europe",0.779,11240,4311159,0,1.4401388168335,0
2006,"El Salvador","SLV","Americas",0.563,2590,6034436,0,0,3
2006,"Estonia","EST","Europe",0.871,11500,1346810,0,1.60651159286499,9
2006,"France","FRA","Europe",0.879,37880,63628261,1,5.65730345249176,4179
2006,"Georgia","GEO","Asia",0.549,1910,3880347,1,1,0
2006,"Germany","DEU","Europe",0.907,38270,82376451,1,11.6582959592342,92
2006,"Greece","GRC","Europe",0.893,24570,11020362,1,4.73646640777588,12
2006,"Honduras","HND","Americas",0.516,1340,7745200,0,0,12
2006,"Hungary","HUN","Europe",0.835,11240,10071370,0,3.98347502946854,15
2006,"Italy","ITA","Europe",0.856,34280,58143979,1,3.93868237733841,15
2006,"Japan","JPN","Asia",0.853,40590,127854000,0,10.5816447734833,186
2006,"Kenya","KEN","Africa",0.51,590,36925253,1,0,790
2006,"Latvia","LVA","Europe",0.814,8930,2218357,0,1.24071252346039,120
2006,"Lithuania","LTU","Europe",0.825,8800,3269909,0,1.2505065202713,0
2006,"Mauritius","MUS","Africa",0.743,5910,1233996,0,1.10677233268507,0
2006,"Netherlands","NLD","Europe",0.868,45270,16346101,1,1.93187980353832,3000
2006,"New Zealand","NZL","Oceania",0.885,26390,4184600,1,0,0
2006,"Paraguay","PRY","Americas",0.597,1970,5534675,0,0,68
2006,"Peru","PER","Americas",0.793,2780,28381078,1,0,0
2006,"Poland","POL","Europe",0.88,8420,38141267,0,1.95101398229599,0
2006,"Portugal","PRT","Europe",0.9,19410,10522288,0,3.45131528377533,123
2006,"Romania","ROU","Europe",0.612,4900,21193760,0,13.4211778640747,435
2006,"South Africa","ZAF","Africa",0.772,6180,49491756,1,2.61698445677757,48
2006,"Spain","ESP","Europe",0.877,27850,44397319,1,5.77134624123573,100
2006,"Switzerland","CHE","Europe",0.888,65290,7483934,1,4.04168862104416,4
2006,"Thailand","THA","Asia",0.236,3080,66319525,1,0,840
2006,"Uganda","UGA","Africa",0.33,350,28773227,0,0,412
2006,"Ukraine","UKR","Europe",0.57,1950,46787786,1,3.81862413883209,2409
2007,"Australia","AUS","Oceania",0.88,37390,20827622,1,3.60483628511429,44
2007,"Austria","AUT","Europe",0.873,44540,8295487,1,3.37614431977272,20
2007,"Belarus","BLR","Europe",0.224,4310,9560953,0,1.00010224553989,0
2007,"Belgium","BEL","Europe",0.892,42740,10625700,1,2.02486543729901,8
2007,"Bosnia and Herzegovina","BIH","Europe",0.566,3680,4007876,1,0,0
2007,"Bulgaria","BGR","Europe",0.709,4820,7545338,0,9.93894517421722,51
2007,"Canada","CAN","Americas",0.838,41540,32889025,1,0,24
2007,"Chile","CHL","Americas",0.89,8790,16495538,1,0,54
2007,"Colombia","COL","Americas",0.582,4170,43306582,0,0,654
2007,"Costa Rica","CRI","Americas",0.906,5630,4440019,0,0,57
2007,"Croatia","HRV","Europe",0.789,12520,4310217,0,2.86665511131287,36
2007,"Cyprus","CYP","Asia",0.839,27340,1073873,0,1.90618335455656,12
2007,"Denmark","DNK","Europe",0.92,55740,5461438,1,1.38284194469452,0
2007,"El Salvador","SLV","Americas",0.567,2710,6044131,0,2,6
2007,"France","FRA","Europe",0.882,40160,64021737,1,5.75146673619747,15
2007,"Germany","DEU","Europe",0.907,40470,82266372,1,5.87307424843312,76
2007,"Greece","GRC","Europe",0.898,26370,11048473,1,6.21331870555878,258
2007,"Honduras","HND","Americas",0.515,1470,7924462,0,0,21
2007,"Hungary","HUN","Europe",0.855,11770,10055780,0,2.13519221544266,1500
2007,"Italy","ITA","Europe",0.867,35930,58438310,1,3.92017951607704,51
2007,"Japan","JPN","Asia",0.853,39310,128001000,0,16.9315963983536,261
2007,"Kenya","KEN","Africa",0.51,710,38036793,1,0,78
2007,"Mauritius","MUS","Africa",0.743,6470,1239630,0,1.10807278379798,8
2007,"Netherlands","NLD","Europe",0.873,48620,16381696,1,1.96205151081085,21
2007,"New Zealand","NZL","Oceania",0.885,28150,4223800,1,0,0
2007,"Paraguay","PRY","Americas",0.597,2490,5590145,0,0,32
2007,"Peru","PER","Americas",0.799,3180,28600387,1,0,2708
2007,"Poland","POL","Europe",0.875,9930,38120560,0,3.74052387475967,57
2007,"Romania","ROU","Europe",0.612,6510,20882982,0,10.4547439813614,240
2007,"Slovenia","SVN","Europe",0.828,21800,2018122,0,3.37729966640473,18
2007,"South Africa","ZAF","Africa",0.772,6510,49996094,1,0,192
2007,"Spain","ESP","Europe",0.876,29770,45226803,1,7.6994718015194,24
2007,"Spain","SPI","Africa",0.876,29770,45226803,1,1.92486795037985,0
2007,"Switzerland","CHE","Europe",0.89,64120,7551117,1,6.11033868044615,4
2007,"Thailand","THA","Asia",0.184,3490,66826754,1,0,159
2007,"Uganda","UGA","Africa",0.331,380,29629804,0,0,330
2007,"Ukraine","UKR","Europe",0.601,2590,46509355,1,2.52499759197235,0
2008,"Australia","AUS","Oceania",0.888,42410,21249199,1,9.2970634251833,32
2008,"Austria","AUT","Europe",0.874,49210,8321496,1,1.6102996468544,16
2008,"Belgium","BEL","Europe",0.898,46570,10709973,1,1.98857975006103,0
2008,"Bulgaria","BGR","Europe",0.715,6070,7492561,0,1.82513396441936,30
2008,"Canada","CAN","Americas",0.835,44930,33247118,1,0,0
2008,"Chile","CHL","Americas",0.89,10060,16661462,1,0,27
2008,"Colombia","COL","Americas",0.581,4770,43815313,0,0,459
2008,"Costa Rica","CRI","Americas",0.906,6350,4501921,0,0,33
2008,"El Salvador","SLV","Americas",0.568,2900,6068099,0,2,90
2008,"France","FRA","Europe",0.889,43540,64379696,1,5.73211593925953,15
2008,"Germany","DEU","Europe",0.907,43650,82110097,1,3.90611487627029,32
2008,"Greece","GRC","Europe",0.902,28710,11077841,1,1.5202365219593,6
2008,"Honduras","HND","Americas",0.516,1610,8101777,0,0,201
2008,"Hungary","HUN","Europe",0.855,13250,10038188,0,1.77488875389099,51
2008,"Indonesia","IDN","Asia",0.708,1920,237936543,1,19.5743172764778,288
2008,"Italy","ITA","Europe",0.858,37980,58826731,1,5.76638303697109,27
2008,"Japan","JPN","Asia",0.85,39380,128063000,0,8.44832175970077,228
2008,"Kazakhstan","KAZ","Asia",0.242,6110,15776938,0,0,3
2008,"Kenya","KEN","Africa",0.413,830,39186895,1,0,224
2008,"Mexico","MEX","Americas",0.642,10330,109684489,1,0,144
2008,"Mongolia","MNG","Asia",0.661,1800,2633887,0,0,156
2008,"Netherlands","NLD","Europe",0.873,51670,16445593,1,1.97901137173176,0
2008,"Norway","NOR","Europe",0.895,87850,4768212,1,1.72953712940216,0
2008,"Paraguay","PRY","Americas",0.62,3300,5645148,0,0,48
2008,"Peru","PER","Americas",0.801,3760,28806185,1,0,160
2008,"Poland","POL","Europe",0.889,11940,38125759,0,3.74664279818535,252
2008,"Portugal","PRT","Europe",0.896,22640,10558177,0,1.75573414564133,6
2008,"Romania","ROU","Europe",0.622,8800,20537875,0,3.55615705251694,15
2008,"South Africa","ZAF","Africa",0.772,6560,50565812,1,5.34252865612507,460
2008,"Thailand","THA","Asia",0.406,3920,67328239,1,0,117
2008,"Uganda","UGA","Africa",0.332,430,30509862,0,0,154
2008,"Ukraine","UKR","Europe",0.609,3210,46258189,1,1.19333016872406,114
2009,"Australia","AUS","Oceania",0.888,44100,21691653,1,11.0441835522652,2140
2009,"Austria","AUT","Europe",0.876,49150,8343323,1,6.20546823740005,12
2009,"Belgium","BEL","Europe",0.898,46980,10796493,1,1.98061698675156,4
2009,"Bosnia and Herzegovina","BIH","Europe",0.564,4790,3877750,1,0,3
2009,"Canada","CAN","Americas",0.835,43230,33628895,1,0,8
2009,"Colombia","COL","Americas",0.585,5190,44313917,0,0,159
2009,"Costa Rica","CRI","Americas",0.906,6480,4563127,0,0,93
2009,"El Salvador","SLV","Americas",0.601,2850,6091188,0,4.98513007164001,846
2009,"France","FRA","Europe",0.889,44070,64710879,1,9.62071150541306,54
2009,"Georgia","GEO","Asia",0.488,2950,3814419,1,1.75021752715111,0
2009,"Germany","DEU","Europe",0.902,43660,81902307,1,7.54126369953156,64
2009,"Greece","GRC","Europe",0.902,29420,11107017,1,3.19022530317306,0
2009,"Honduras","HND","Americas",0.442,1650,8277302,0,0,42
2009,"Indonesia","IDN","Asia",0.695,2130,240981299,1,14.7498757839203,2970
2009,"Ireland","IRL","Europe",0.9,46810,4535375,0,1.89628705382347,0
2009,"Italy","ITA","Europe",0.853,37990,59095365,1,9.59348991513252,1005
2009,"Japan","JPN","Asia",0.851,39230,128047000,0,11.6438725590706,231
2009,"Kenya","KEN","Africa",0.413,830,40364444,1,0,614
2009,"Mexico","MEX","Americas",0.646,9310,111049428,1,0,128
2009,"Mongolia","MNG","Asia",0.66,1790,2666713,0,0,93
2009,"Paraguay","PRY","Americas",0.634,3720,5702574,0,0,32
2009,"Peru","PER","Americas",0.802,3940,29009326,1,0,2308
2009,"Poland","POL","Europe",0.889,12490,38151603,0,5.75049309432506,921
2009,"Portugal","PRT","Europe",0.897,22990,10568247,0,1.80045191943645,0
2009,"Romania","ROU","Europe",0.669,9220,20367487,0,7.56586909294128,195
2009,"South Africa","ZAF","Africa",0.77,6420,51170779,1,6.22010415792465,132
2009,"Spain","ESP","Europe",0.887,32560,46362946,1,3.79652510583401,80
2009,"Switzerland","CHE","Europe",0.898,71800,7743831,1,1.93756324052811,0
2009,"Thailand","THA","Asia",0.422,4080,67813654,1,0,45
2009,"Tunisia","TUN","Africa",0.19,3970,10784504,0,0,34
2009,"Uganda","UGA","Africa",0.332,550,31412520,0,0,34
2009,"Ukraine","UKR","Europe",0.608,2840,46053331,1,2.56286442279816,96
2010,"Australia","AUS","Oceania",0.0897,46750,22031750,1,14.4091868400574,144
2010,"Belgium","BEL","Europe",0.0898,47080,10895586,1,5.54920645058155,16
2010,"Bosnia and Herzegovina","BIH","Europe",0.0573,4820,3811088,1,0,15
2010,"Brazil","BRA","Americas",0.0867,9610,196353492,1,0,1580
2010,"Bulgaria","BGR","Europe",0.068,7010,7395599,0,3.69558733701706,9
2010,"Canada","CAN","Americas",0.0835,44490,34004889,1,0,0
2010,"Chile","CHL","Americas",0.089,10840,17004162,1,0,1686
2010,"Colombia","COL","Americas",0.0622,5680,44816108,0,0,1872
2010,"Costa Rica","CRI","Americas",0.091,7190,4622252,0,0,81
2010,"Croatia","HRV","Europe",0.0847,13850,4295427,0,4.22955018281937,0
2010,"Denmark","DNK","Europe",0.0919,61220,5547683,1,1.58748486638069,0
2010,"El Salvador","SLV","Americas",0.0618,2910,6114034,0,4.51246520876884,51
2010,"France","FRA","Europe",0.0889,43970,65030575,1,7.66782635450363,243
2010,"Germany","DEU","Europe",0.09,44680,81776930,1,7.62632942199707,32
2010,"Greece","GRC","Europe",0.0907,27610,11121341,1,1.61041185259819,3
2010,"Honduras","HND","Americas",0.041,1710,8450933,0,0,633
2010,"Hungary","HUN","Europe",0.0808,13260,10000023,0,1.80397841334343,3
2010,"Iceland","ISL","Europe",0.0883,36270,318041,0,1.47698962688446,0
2010,"Indonesia","IDN","Asia",0.0696,2510,244016173,1,14.5687007904053,2588
2010,"Israel","ISR","Asia",0.0751,30350,7623600,0,3.66596782207489,138
2010,"Italy","ITA","Europe",0.0853,37960,59277417,1,5.81705398857594,9
2010,"Japan","JPN","Asia",0.085,43910,128070000,0,3.96709382534027,540
2010,"Kazakhstan","KAZ","Asia",0.0239,7440,16321872,0,3.44029343128205,132
2010,"Kenya","KEN","Africa",0.0423,930,41517895,1,0,522
2010,"Lithuania","LTU","Europe",0.0848,12570,3097282,0,3.70570960640907,27
2010,"Luxembourg","LUX","Europe",0.0881,77640,506953,1,1.69294214248657,0
2010,"Mexico","MEX","Americas",0.0651,9560,112532401,1,0,728
2010,"Netherlands","NLD","Europe",0.0876,53430,16615394,1,1.96489205956459,0
2010,"New Zealand","NZL","Oceania",0.0901,29670,4350700,1,1.2513335943222,0
2010,"Paraguay","PRY","Americas",0.0641,4390,5768613,0,0,48
2010,"Peru","PER","Americas",0.0808,4380,29229572,1,0,2040
2010,"Poland","POL","Europe",0.0889,12670,38042794,0,5.56736992299557,657
2010,"Portugal","PRT","Europe",0.0898,23030,10573100,0,5.45773404836655,138
2010,"Romania","ROU","Europe",0.0681,8710,20246871,0,3.32260513305664,234
2010,"South Africa","ZAF","Africa",0.0771,6810,51784921,1,1.59011140465737,160
2010,"Spain","ESP","Europe",0.0891,31970,46576897,1,3.79777915775776,20
2010,"Switzerland","CHE","Europe",0.0898,79040,7824909,1,3.92115953564644,0
2010,"Thailand","THA","Asia",0.0416,4510,68270489,1,0,780
2010,"Uganda","UGA","Africa",0.033,680,32341728,0,0,872
2010,"Ukraine","UKR","Europe",0.0491,3030,45870741,1,1.20182007551193,18
2011,"Australia","AUS","Oceania",0.902,50410,22340024,1,5.07833155989647,4
2011,"Belgium","BEL","Europe",0.898,46490,11038264,1,3.52906167507172,20
2011,"Brazil","BRA","Americas",0.872,11040,198185302,1,0,3912
2011,"Canada","CAN","Americas",0.812,47190,34339328,1,0,32
2011,"Chile","CHL","Americas",0.891,11980,17173573,1,0,3
2011,"Colombia","COL","Americas",0.659,6370,45308899,0,0,939
2011,"Costa Rica","CRI","Americas",0.91,8020,4679926,0,0,12
2011,"El Salvador","SLV","Americas",0.618,3100,6137349,0,1,105
2011,"France","FRA","Europe",0.89,44440,65345233,1,3.91071254014969,18
2011,"Georgia","GEO","Asia",0.503,3520,3756441,1,1.7770758420229,21
2011,"Germany","DEU","Europe",0.904,47320,80274983,1,1.88104163110256,16
2011,"Honduras","HND","Americas",0.421,1850,8622504,0,0,99
2011,"Indonesia","IDN","Asia",0.696,2990,247099697,1,14.8109092712402,258
2011,"Ireland","IRL","Europe",0.899,42410,4580084,0,1.81642180681229,6
2011,"Italy","ITA","Europe",0.861,37980,59379449,1,7.76772338151932,87
2011,"Japan","JPN","Asia",0.85,47470,127833000,0,14.222342684865,59928
2011,"Kazakhstan","KAZ","Asia",0.234,8280,16557202,0,2.05063307285309,6
2011,"Kenya","KEN","Africa",0.425,1010,42635144,1,0,66
2011,"Mexico","MEX","Americas",0.652,9850,114150481,1,0,500
2011,"New Zealand","NZL","Oceania",0.897,32220,4384000,1,2.73574042320252,364
2011,"Norway","NOR","Europe",0.897,90920,4953088,1,1.67102792859078,12
2011,"Paraguay","PRY","Americas",0.631,4820,5843939,0,0,176
2011,"Peru","PER","Americas",0.812,4930,29477721,1,0,436
2011,"Poland","POL","Europe",0.891,12810,38063255,0,1.79473882913589,78
2011,"South Africa","ZAF","Africa",0.767,7700,52443325,1,4.6732246465981,184
2011,"Spain","ESP","Europe",0.893,31020,46742697,1,3.7840031683445,44
2011,"Switzerland","CHE","Europe",0.9,81330,7912398,1,1.99397222697735,0
2011,"Thailand","THA","Asia",0.461,4860,68712846,1,0,2769
2011,"Uganda","UGA","Africa",0.33,860,33295738,0,0,100
